K = 1, Precision = 0.32748538011695905, Recall = 0.30601092896174864, F1-score = 0.3163841807909605, Accuracy = 0.8483709273182958
K = 2, Precision = 0.2857142857142857, Recall = 0.45901639344262296, F1-score = 0.35220125786163525, Accuracy = 0.806390977443609
K = 3, Precision = 0.24743589743589745, Recall = 0.5273224043715847, F1-score = 0.33682373472949395, Accuracy = 0.7619047619047619
K = 4, Precision = 0.2372340425531915, Recall = 0.6092896174863388, F1-score = 0.34150076569678406, Accuracy = 0.7305764411027569
K = 5, Precision = 0.22482893450635386, Recall = 0.6284153005464481, F1-score = 0.3311735061195104, Accuracy = 0.7089598997493735
K = 6, Precision = 0.25769230769230766, Recall = 0.5491803278688525, F1-score = 0.3507853403141361, Accuracy = 0.7669172932330827
K = 7, Precision = 0.30976430976430974, Recall = 0.5027322404371585, F1-score = 0.3833333333333333, Accuracy = 0.8145363408521303
K = 8, Precision = 0.31789137380191695, Recall = 0.5437158469945356, F1-score = 0.40120967741935487, Accuracy = 0.8139097744360902
K = 9, Precision = 0.31101190476190477, Recall = 0.5710382513661202, F1-score = 0.4026974951830443, Accuracy = 0.8057644110275689
K = 10, Precision = 0.30939226519337015, Recall = 0.6120218579234973, F1-score = 0.4110091743119266, Accuracy = 0.7988721804511278
K = 11, Precision = 0.31129476584022037, Recall = 0.6174863387978142, F1-score = 0.41391941391941395, Accuracy = 0.7994987468671679
K = 12, Precision = 0.32248062015503876, Recall = 0.5683060109289617, F1-score = 0.4114737883283877, Accuracy = 0.8135964912280702
K = 13, Precision = 0.3441780821917808, Recall = 0.5491803278688525, F1-score = 0.4231578947368421, Accuracy = 0.8283208020050126
K = 14, Precision = 0.34390651085141904, Recall = 0.5628415300546448, F1-score = 0.42694300518134715, Accuracy = 0.8267543859649122
